State,Total Population 2021,Population Growth or Decline 2010 to 2021,Households 2020,Labor Force (persons) Ann. Avg. 2021,Unemployment Rate Ann. Avg. 2021,Per Capita Personal Income 2021,Median Household Income 2020,Poverty Rate 2020,High School Diploma or More - Pct. of Adults 25+ 2020,Bachelor's Degree or More - Pct. of Adults 25+ 2020,Covered Employment 2021,Avg Wage per Job 2021,Manufacturing - Pct. All Jobs in County 2021,Manufacturing - Avg Wage per Job 2021,Transportation and Warehousing - Pct. All Jobs in County 2021,Transportation and Warehousing - Avg Wage per Job 2021,"Health Care, Social Assist. - Pct. All Jobs in County 2021","Health Care, Social Assist. - Avg Wage per Job 2021",Finance and Insurance - Pct. All Jobs in County 2021,Finance and Insurance - Avg Wage per Job 2021,Population in 2021,Population in 2010,Population in 2000,Population in 1990,Population in 1980,Population change 2000 to 2010,Population change 1990 to 2010,Population change 1980 to 2010,Net Domestic Migration,Net International Migration,Natural Increase (births minus deaths),Births,Deaths,Preschool (0 to 4),School Age (5 to 17),College Age (18 to 24),Young Adult (25 to 44),Older Adult (45 to 64),Older (65 plus),Median Age,American Ind. or Alaskan Native Alone,Asian Alone,Black Alone,Native Hawaiian and Other Pac. Isl. Alone,White Alone,Two or More Race Groups,Non-Hispanic or Latino,Hispanic or Latino,Puerto Rican,Other,"White, Not Hispanic (reporting white alone)",Hispanic,Mexican,Cuban,Total Households,Family Households,Married with Children,Married without Children,Single Parents,Other,Non-Family Households,Living Alone,Average Household Size,Total Housing Units (ACS estimate),Occupied Units,Owner Occupied,Renter Occupied,Vacant,For Seasonal or Recreational Use,Total Permits Filed,Single Family Permits,Two Family Permits,Three and Four Family Permits,Five Families and More Permits,Median Household Income 2020,Median Household Income 2000,Percent Change 2000 to 2020,2021,2011,2001,1991,10-Year pct. Change,20-Year pct. Change,30-Year pct. Change,Total Earnings by Place of Work,Minus: Contributions for Government Social Insurance,Personal Contributions for Government Social Insurance,Employer Contributions for Government Social Insurance,Plus: Adjustment for Residence,Net Earnings by Place of Residence,"Plus: Dividends, Rent, Interest",Plus: Transfer Payments,Equals: Personal Income by Place of Residence,Poverty Rate in 2020,Poverty Rate for Children under 18 in 2020,Total Labor Force,Labor Force 5-Year Pct. Chg,Labor Force 10-Year Pct. Chg,Employed,Employed 5-Year Pct. Chg,Employed 10-Year Pct. Chg,Unemployed,Unemployed 5-Year Pct. Chg,Unemployed 10-Year Pct. Chg,Unemployment Rate,Unemployment Rate 5-Year Pct. Chg,Unemployment Rate 10-Year Pct. Chg,Total Population 25 and Older,Less than 9th Grade,"9th to 12th, No Diploma",High School Graduate (includes equiv.),"Some College, No Degree",Associate Degree,Bachelor's Degree,"Graduate, Professional or Doctorate Degree"
Alabama,"5,039,877",5.40%,"1,888,504",N/A,N/A,"$49,769 ","$53,958 ",14.9,86.90%,26.20%,"1,965,189","$54,358 ",13.50%,"$62,595 ",4.50%,"$49,731 ",13.90%,"$56,218 ",3.70%,"$89,214 ","5,039,877","4,779,736","4,451,497","4,048,508","3,894,025",7.40%,18.10%,22.70%,"22,136","1,244","-8,548","56,320","64,868","293,932","798,980","456,268","1,237,123","1,279,449","827,434",39.2,"24,764","67,909","1,301,319","2,042","3,302,834","119,322","4,680,235","212,951","23,613","57,898","3,192,147","212,951","124,956","6,484","1,888,504","1,234,552","315,284","578,664","164,286","176,318","653,952","567,326",2.5,"2,270,398","1,888,504","1,306,505","581,999","381,894","74,821","22,100","17,879",98,199,"3,924","$53,958 ","$34,923 ",54.50%,"$49,769 ","$35,010 ","$25,057 ","$16,572 ",42.20%,98.60%,200.30%,"$156,348,795 ","$18,473,912 ","$10,378,307 ","$8,095,605 ","$2,870,751 ","$140,745,634 ","$41,194,188 ","$68,888,991 ","$250,828,813 ",14.9,20.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"3,344,006","133,650","305,297","1,014,342","721,609","292,064","546,674","330,370"
Alaska,"732,673",3.20%,"255,173",N/A,N/A,"$65,813 ","$79,961 ",9.6,93.10%,30.00%,"305,145","$62,681 ",4.00%,"$58,212 ",6.50%,"$81,514 ",15.80%,"$62,665 ",2.10%,"$84,262 ","732,673","710,231","627,748","553,120","401,851",13.10%,28.40%,76.70%,"-3,879",526,"3,639","9,280","5,641","52,302","131,057","70,195","212,900","182,907","87,629",34.6,"107,298","47,289","23,894","10,485","466,961","68,832","683,931","53,059","7,507","15,381","439,979","53,059","28,634","1,537","255,173","167,815","55,027","72,285","22,692","17,811","87,358","67,033",2.7,"318,370","255,173","165,376","89,797","63,197","30,834","1,552","1,158",34,103,257,"$79,961 ","$51,433 ",55.50%,"$65,813 ","$52,569 ","$33,626 ","$23,510 ",25.20%,95.70%,179.90%,"$33,314,932 ","$3,446,898 ","$1,801,321 ","$1,645,577 ","($190,542)","$29,677,492 ","$8,268,530 ","$10,273,193 ","$48,219,215 ",9.6,12.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"483,436","11,513","21,663","137,486","125,645","42,162","90,161","54,806"
Arizona,"7,276,316",13.80%,"2,643,430",N/A,N/A,"$55,487 ","$64,652 ",12.8,87.90%,30.30%,"2,935,149","$61,750 ",6.20%,"$87,185 ",4.80%,"$52,308 ",14.30%,"$61,331 ",6.00%,"$94,035 ","7,276,316","6,392,017","5,166,304","3,679,056","2,716,546",23.70%,73.70%,135.30%,"93,026","4,478",832,"76,497","75,665","431,224","1,208,421","688,363","1,868,902","1,714,950","1,262,204",37.9,"311,014","239,190","325,105","14,633","5,292,498","499,597","4,913,374","2,260,690","51,533","209,849","3,883,722","2,260,690","1,982,168","17,140","2,643,430","1,720,736","463,729","793,002","238,578","225,427","922,694","726,205",2.6,"3,040,595","2,643,430","1,727,176","916,254","397,165","198,985","65,334","46,561","1,332",336,"17,105","$64,652 ","$40,437 ",59.90%,"$55,487 ","$35,321 ","$27,008 ","$17,731 ",57.10%,105.40%,212.90%,"$258,941,005 ","$29,881,762 ","$16,607,951 ","$13,273,811 ","$1,911,228 ","$230,970,471 ","$71,419,296 ","$101,349,545 ","$403,739,312 ",12.8,17.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"4,846,056","248,570","339,349","1,151,988","1,208,298","429,153","911,228","557,470"
Arkansas,"3,025,891",3.80%,"1,170,544",N/A,N/A,"$50,625 ","$51,146 ",15.2,87.20%,23.80%,"1,203,304","$51,519 ",13.10%,"$54,261 ",5.20%,"$57,113 ",16.30%,"$53,198 ",3.20%,"$75,832 ","3,025,891","2,915,918","2,678,115","2,354,343","2,286,358",8.90%,23.90%,27.50%,"16,016",824,"-3,236","35,021","38,257","188,445","514,387","282,319","766,163","750,442","510,117",38.3,"19,146","46,130","457,840","10,455","2,269,959","119,980","2,782,244","229,629","7,703","52,270","2,155,099","229,629","167,313","2,343","1,170,544","770,111","211,126","353,173","109,895","95,917","400,433","335,974",2.5,"1,379,778","1,170,544","770,477","400,067","209,234","54,148","14,198","10,563",616,567,"2,452","$51,146 ","$31,496 ",62.40%,"$50,625 ","$34,279 ","$23,873 ","$15,299 ",47.70%,112.10%,230.90%,"$91,268,892 ","$11,145,765 ","$6,299,330 ","$4,846,435 ","($488,599)","$79,634,528 ","$31,021,556 ","$42,529,698 ","$153,185,782 ",15.2,20.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2,026,722","95,403","164,957","686,812","445,268","151,587","308,648","174,047"
California,"39,237,836",5.30%,"13,103,114",N/A,N/A,"$76,614 ","$83,001 ",11.5,83.90%,34.70%,"16,974,869","$85,741 ",7.50%,"$119,242 ",4.90%,"$69,793 ",15.50%,"$63,366 ",3.20%,"$174,616 ","39,237,836","37,253,956","33,994,383","29,950,111","23,667,764",9.60%,24.40%,57.40%,"-367,299","14,339","91,996","424,333","332,337","2,409,082","6,547,559","3,724,239","11,241,816","9,778,830","5,644,497",36.7,"311,629","5,834,312","2,250,962","149,636","22,053,721","3,122,016","23,965,094","15,380,929","227,838","2,411,920","14,365,145","15,380,929","12,635,258","105,913","13,103,114","8,986,666","2,781,246","3,729,334","1,112,876","1,363,210","4,116,448","3,114,819",2.9,"14,210,945","13,103,114","7,241,318","5,861,796","1,107,831","378,023","119,436","65,890","2,408","1,631","49,507","$83,001 ","$46,836 ",77.20%,"$76,614 ","$45,557 ","$34,046 ","$21,857 ",68.20%,125.00%,250.50%,"$2,102,644,661 ","$211,918,414 ","$119,179,916 ","$92,738,498 ","($2,621,695)","$1,888,104,552 ","$534,934,945 ","$583,144,432 ","$3,006,183,929 ",11.5,14.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"26,665,143","2,367,996","1,918,542","5,431,385","5,566,520","2,123,827","5,764,827","3,492,046"
Colorado,"5,812,069",15.60%,"2,137,402",N/A,N/A,"$70,706 ","$77,688 ",9,92.10%,41.60%,"2,699,891","$70,563 ",5.50%,"$80,787 ",3.80%,"$62,361 ",13.30%,"$61,244 ",4.30%,"$119,022 ","5,812,069","5,029,196","4,328,277","3,303,862","2,889,735",16.20%,52.20%,74.00%,"13,054","1,677","12,687","60,675","47,988","330,939","928,092","525,141","1,675,298","1,417,119","808,337",36.9,"53,671","181,733","235,692","8,883","4,634,305","337,229","4,453,800","1,231,126","36,520","289,450","3,837,450","1,231,126","891,760","13,396","2,137,402","1,358,903","436,953","632,713","152,275","136,962","778,499","591,783",2.6,"2,361,372","2,137,402","1,415,324","722,078","223,970","111,290","56,524","30,246","1,260",736,"24,282","$77,688 ","$47,505 ",63.50%,"$70,706 ","$43,658 ","$34,897 ","$20,549 ",62.00%,102.60%,244.10%,"$284,315,350 ","$29,440,166 ","$15,751,021 ","$13,689,145 ","$1,551,534 ","$256,426,718 ","$85,564,120 ","$68,957,380 ","$410,948,218 ",9,10.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"3,900,754","128,623","180,162","827,081","809,908","332,127","1,015,989","606,864"
Connecticut,"3,605,597",0.90%,"1,385,437",N/A,N/A,"$83,294 ","$79,723 ",9.7,90.90%,40.00%,"1,591,092","$77,840 ",9.60%,"$89,647 ",4.30%,"$52,515 ",18.00%,"$62,285 ",6.10%,"$194,993 ","3,605,597","3,574,097","3,411,506","3,289,056","3,107,564",4.80%,8.70%,15.00%,"5,134","4,583","-4,975","32,671","37,646","182,708","552,876","345,760","870,014","1,003,725","615,466",41.1,"9,079","163,262","382,161","1,189","2,649,994","172,647","2,983,337","587,212","293,090","217,608","2,357,942","587,212","63,563","12,951","1,385,437","902,996","256,015","408,414","116,424","122,143","482,441","394,346",2.5,"1,521,199","1,385,437","915,408","470,029","135,762","29,669","4,651","2,941",148,79,"1,483","$79,723 ","$52,758 ",51.10%,"$83,294 ","$63,132 ","$45,153 ","$26,588 ",31.90%,84.50%,213.30%,"$185,239,853 ","$18,870,131 ","$10,427,456 ","$8,442,675 ","$23,599,351 ","$189,969,073 ","$59,295,492 ","$51,058,909 ","$300,323,474 ",9.7,11.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2,489,205","99,436","126,114","655,381","419,238","193,036","551,459","444,541"
Delaware,"1,003,384",11.70%,"370,953","496,430",5.3,"$59,931 ","$71,335 ",10.9,90.60%,32.70%,"441,668","$64,484 ",5.70%,"$70,399 ",4.40%,"$53,095 ",16.80%,"$62,017 ",9.50%,"$113,246 ","1,003,384","897,934","786,417","669,063","594,338",14.20%,34.20%,51.10%,"12,207",619,"-1,344","10,311","11,655","54,774","149,433","83,602","240,699","257,147","182,024",41,"3,560","38,528","212,795",705,"652,587","37,567","876,329","91,350","26,908","29,104","595,236","91,350","34,018","1,320","370,953","243,012","57,656","120,374","33,166","31,816","127,941","104,384",2.5,"438,438","370,953","264,915","106,038","67,485","40,500","8,500","7,261",304,3,932,"$71,335 ","$47,812 ",49.20%,"$59,931 ","$43,962 ","$36,922 ","$22,247 ",36.30%,62.30%,169.40%,"$40,921,379 ","$4,768,479 ","$2,578,652 ","$2,189,827 ","($2,108,166)","$34,044,734 ","$10,948,438 ","$15,140,459 ","$60,133,631 ",10.9,15.1,"496,430",5.90%,11.80%,"469,875",5.00%,14.50%,"26,555",25.40%,-21.30%,5.3,17.80%,-30.30%,"679,870","22,233","41,610","210,998","128,397","54,589","129,092","92,951"
Florida,"21,781,128",15.80%,"7,931,313","10,312,768",4.6,"$62,270 ","$61,724 ",12.4,88.50%,30.50%,"8,859,821","$60,276 ",4.40%,"$70,005 ",4.60%,"$56,719 ",14.00%,"$61,908 ",4.70%,"$109,249 ","21,781,128","18,801,310","16,046,148","13,018,365","9,746,959",17.20%,44.40%,92.90%,"220,890","38,590","-45,248","210,305","255,553","1,133,390","3,081,054","1,747,154","5,334,249","5,573,165","4,347,912",42.2,"55,655","590,668","3,381,061","13,339","15,199,588","1,277,017","15,748,098","5,468,826","1,155,423","2,071,017","11,331,222","5,468,826","709,870","1,532,516","7,931,313","5,118,059","1,208,814","2,512,544","654,262","742,439","2,813,254","2,267,320",2.6,"9,562,324","7,931,313","5,250,878","2,680,435","1,631,011","867,971","213,494","148,735","3,338","1,272","60,149","$61,724 ","$38,784 ",59.10%,"$62,270 ","$40,517 ","$30,418 ","$20,073 ",53.70%,104.70%,210.20%,"$764,483,116 ","$87,829,312 ","$50,253,937 ","$37,575,375 ","$3,715,814 ","$680,369,618 ","$364,845,906 ","$311,103,063 ","$1,356,318,587 ",12.4,17.2,"10,312,768",4.80%,11.40%,"9,843,057",5.20%,18.10%,"469,711",-2.40%,-49.30%,4.6,-6.10%,-54.00%,"15,255,326","701,815","1,049,983","4,308,542","3,013,331","1,521,709","2,938,593","1,721,353"
Georgia,"10,799,566",11.50%,"3,830,264","5,186,969",3.9,"$55,786 ","$62,800 ",14,87.90%,32.20%,"4,475,117","$62,242 ",8.80%,"$63,257 ",5.60%,"$57,601 ",12.40%,"$60,244 ",4.00%,"$110,104 ","10,799,566","9,687,653","8,230,306","6,506,531","5,462,989",17.70%,48.90%,77.30%,"50,632","6,997","15,993","121,269","105,276","652,085","1,853,229","1,014,840","2,847,924","2,689,140","1,459,361",36.9,"34,962","434,603","3,319,844","7,127","6,020,265","393,169","9,503,522","1,013,057","107,661","310,811","5,478,289","1,013,057","558,421","36,164","3,830,264","2,565,233","733,305","1,080,488","380,718","370,722","1,265,031","1,046,237",2.6,"4,329,675","3,830,264","2,453,159","1,377,105","499,411","93,609","67,223","53,419",364,624,"12,816","$62,800 ","$42,057 ",49.30%,"$55,786 ","$36,842 ","$29,762 ","$18,322 ",51.40%,87.40%,204.50%,"$413,428,997 ","$44,411,549 ","$24,386,183 ","$20,025,366 ","($1,786,550)","$367,230,898 ","$105,179,993 ","$130,053,157 ","$602,464,048 ",14,19.5,"5,186,969",5.40%,9.40%,"4,983,732",7.10%,17.00%,"203,237",-24.20%,-57.70%,3.9,-27.80%,-61.40%,"6,996,425","311,893","536,760","1,925,374","1,410,017","559,719","1,377,311","875,351"
